studiengang,modul_id,modulname,satz_nr,satz,llm_typ,llm_taxonomie,llm_konfidenz,typ,taxonomie,kommentar
Angewandte Informatik (B.Sc.),AI1005,Betriebswirtschaftslehre 1,2,"Die Studierenden finden sich in der betrieblichen Wirklichkeit, die weitgehend vom betriebswirtschaftlichen Rationalitätspostulat bestimmt ist, zurecht und bringen sich produktiv ein.",K,3,0.60,K,3,
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,2,"Angefangen von der Funktionsweise primitiver logischer Verknüpfungen (UND, ODER, Negation) werden auf Grundlage der Booleschen Algebra Methoden entwickelt, welche notwendig sind, um die Funktionsweise von einfachen Von-Neumann Rechnern zu verstehen.",I,,0.90,I,,
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,5,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Analysis nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",K,4,0.75,K,4,
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,6,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Analysis.,K,6,0.75,K,6,
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,6,Die Studierenden benennen traditionelle Interaktionen und zeigen aktuelle Entwicklungen hinsichtlich des Interaktionsdesigns auf.,K,2,0.75,K,2,
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,7,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Linearen Algebra.,K,3,0.75,K,6,
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,5,"Die Studierenden verfolgen die Weiterentwicklung des Internets sowie zugehöriger Anwendungen und Dienste, schätzen diese ein und kennen damit verbundene Risiken und Möglichkeiten.",K,5,0.75,K,5,
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,5,"Die Studierenden erstellen fachgerecht interaktive, dynamische Webanwendungen und multimediale Webseiten.",K,6,0.75,K,6,
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,9,Die Studierenden kommunizieren und koordinieren in kleinen Lerngruppen die Anwendung praxisrelevanter Werkzeuge anhand von Beispielaufgaben.,K,3,0.75,K,3,
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,5,"Die Studierenden erstellen in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.65,K,6,
