studiengang,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Angewandte Informatik (B.Sc.),AI1005,Betriebswirtschaftslehre 1,1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,K,1,0.95,train
Angewandte Informatik (B.Sc.),AI1005,Betriebswirtschaftslehre 1,2,"Die Studierenden finden sich in der betrieblichen Wirklichkeit, die weitgehend vom betriebswirtschaftlichen Rationalitätspostulat bestimmt ist, zurecht und bringen sich produktiv ein.",K,3,0.60,train
Angewandte Informatik (B.Sc.),AI1005,Betriebswirtschaftslehre 1,3,"Die Studierenden sind in der Lage, betriebswirtschaftliche Kennzahlen zu ermitteln und diese, ebenso wie Jahresabschlüsse, zu interpretieren.",K,4,0.80,test
Angewandte Informatik (B.Sc.),AI1005,Betriebswirtschaftslehre 1,4,Die Studierenden schätzen die Bedeutung von Faktoren wie z.B. der Unternehmenskultur oder der Mitbestimmung ein und beurteilen diese.,K,5,0.95,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,1,"Die Studierenden verstehen die technischen Grundlagen, welche zum Verständnis digitaler Rechensysteme notwendig sind.",K,2,0.90,test
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,2,"Angefangen von der Funktionsweise primitiver logischer Verknüpfungen (UND, ODER, Negation) werden auf Grundlage der Booleschen Algebra Methoden entwickelt, welche notwendig sind, um die Funktionsweise von einfachen Von-Neumann Rechnern zu verstehen.",I,,0.90,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,3,Die Studierenden wenden Zahlensysteme zur Darstellung von Fest- und Fließkommazahlen an.,K,3,0.95,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,4,Die Studierenden wenden die Regeln der Booleschen Algebra an.,K,3,0.95,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,5,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,K,6,0.85,test
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,6,Die Studierenden berechnen das Laufzeitverhalten von kombinatorischen und synchronen Schaltungen.,K,3,0.95,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,7,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",K,2,0.95,train
Angewandte Informatik (B.Sc.),AI1002,Digitaltechnik und Rechnersysteme,8,Die Studierenden entwerfen einfache Programme in Maschinensprache.,K,6,0.85,train
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,1,Die Studierenden benutzen fachgerecht mathematische Symbole.,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,2,Die Studierenden nennen Beispiele von Zahlenfolgen und Funktionen mit bestimmten Eigenschaften.,K,1,0.95,train
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften von reellen Zahlenfolgen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,4,Die Studierenden analysieren die Eigenschaften von Funktionen einer reellen Variablen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,5,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Analysis nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",K,4,0.75,test
Angewandte Informatik (B.Sc.),AI1004,Mathematische Grundlagen der Informatik,6,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Analysis.,K,6,0.75,train
Angewandte Informatik (B.Sc.),AI1000,Programmierung 1,1,"Die Studierenden beschreiben mathematische und logische Probleme mit eigenen Worten, die in natürlicher Sprache formuliert sind (z.B. Zahlenfolgen und -reihen, Sortieren, Game of Life, Türme von Hanoi).",K,2,0.85,train
Angewandte Informatik (B.Sc.),AI1000,Programmierung 1,2,Die Studierenden beschreiben diese Probleme anhand algorithmischer Teilschritte und entwickeln unter Anwendung der ihnen bekannten Programmkonstrukte programmiersprachliche Lösungen.,K,6,0.80,train
Angewandte Informatik (B.Sc.),AI1000,Programmierung 1,3,"Die Studierenden formulieren diese Lösungen in Quellcode, der vorgegebenen Konventionen für guten Programmierstil entspricht.",K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1000,Programmierung 1,4,Die Studierenden treffen Einschätzungen zu Laufzeit und Speicherverwaltung dieser Programme .,K,5,0.85,train
Angewandte Informatik (B.Sc.),AI1000,Programmierung 1,5,"Die Studierenden kennen Strategien zu Fehlereingrenzung, -suche und -behebung und wenden diese an.",K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,1,Die Studierenden übersetzen selbstständig bestehenden Quellcode unter Windows und Linux,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,2,Die Studierenden benennen gängige Build-Systeme und Paketmanager,K,1,0.95,train
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,3,Die Studierenden identifizieren Abhängigkeiten zwischen Bibliotheken und lösen sie auf,K,4,0.80,train
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,4,Die Studierenden bedienen PCs von der Kommandozeile aus,K,3,0.90,test
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,5,Die Studierenden editieren Konfigurationsdateien mit Text-Editoren,K,3,0.90,test
Angewandte Informatik (B.Sc.),AI1589,Programmiermethoden und -werkzeuge 1,6,Die Studierenden starten und installieren selbst übersetzten Code aus bestehenden Software-Repositories,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,1,Die Studierenden nennen die wichtigsten Grundbegriffe der Mensch-Computer-Interaktion (MCI) und erklären ihre Bedeutung.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,2,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,3,Die Studierenden interpretieren das Grundmodell menschlicher Informationsverarbeitung und stellen einfache Ableitungen für das Handeln her.,K,2,0.80,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,4,Die Studierenden erklären die Bedeutung der menschzentrierten Gestaltung von technischen Systemen sowie Beispiele für gute und schlechte Umsetzungen.,K,2,0.85,test
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,5,Die Studierenden nennen die Grundlagen und Konzepte des menschzentrierten Entwurfs interaktiver Systeme und wenden sie auf einfache Aufgabenstellungen an.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,6,Die Studierenden benennen traditionelle Interaktionen und zeigen aktuelle Entwicklungen hinsichtlich des Interaktionsdesigns auf.,K,2,0.75,test
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,7,Die Studierenden nennen die grundlegenden Richtlinien für die MCI und integrieren diese in ihre Überlegungen beim Entwurf von interaktiven Systemen.,K,3,0.80,test
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,8,"Die Studierenden entwickeln Prototypen zur MCI mit verschiedenen Techniken (z.B. PenAndPaper), evaluieren nach etablierten Methoden, analysieren die Ergebnisse und präsentieren diese.",K,6,0.80,train
Angewandte Informatik (B.Sc.),AI1047,Mensch-Computer-Interaktion,9,Die Studierenden entwickeln ein Bewusstsein für die Rolle des Fachgebiets MCI .,K,2,0.70,test
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,1,Die Studierenden erklären die Grundbegriffe der linearen Algebra.,K,2,0.95,train
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,2,Die Studierenden erkennen verschiedene algebraische Strukturen.,K,4,0.80,train
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften algebraischer Strukturen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,4,Die Studierenden treffen Aussagen über die Lösbarkeit linearer Gleichungssysteme und bestimmen deren Lösungsmenge.,K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,5,Die Studierenden führen Vektor- und Matrizenoperationen durch.,K,3,0.95,test
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,6,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Linearen Algebra nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",K,4,0.80,train
Angewandte Informatik (B.Sc.),AI1010,Algebraische Grundlagen der Informatik,7,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Linearen Algebra.,K,3,0.75,test
Angewandte Informatik (B.Sc.),AI1001,Programmiermethoden und -werkzeuge 2,1,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",K,4,0.85,test
Angewandte Informatik (B.Sc.),AI1001,Programmiermethoden und -werkzeuge 2,2,Die Studierenden wenden Versionskontrollsysteme an und erklären die technischen Grundlagen dieser Systeme.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1001,Programmiermethoden und -werkzeuge 2,3,Die Studierenden kennen erweiterte Konzepte der Arbeit mit Kommandozeilen und können sie für fortgeschrittene Aufgaben (z.B. Suchen in Dateien und Verzeichnissen mit regulären Ausdrücken) benutzen.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1001,Programmiermethoden und -werkzeuge 2,4,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,1,Die Studierenden benennen und erläutern grundlegende Prinzipien der Rechnerkommunikation und der relevanten Netztechnologien sowie des allgemeinen Konzepts des Internets und der Protokollfamilie TCP/IP.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,2,"Die Studierenden benennen essentielle Netzdienste und –protokolle, erklären deren Funktionsweise und Standards und wenden diese korrekt an.",K,3,0.80,train
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,3,Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.,K,5,0.90,test
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,4,"Die Studierenden arbeiten in Teams im Netzwerk-Labor an explorativen Lernumgebungen und Experimenten zur Sicherheit, Leistungsfähigkeit und Fehlertoleranz von Netzen und darin verwendeten Protokollen und Anwendungen.",K,3,0.70,train
Angewandte Informatik (B.Sc.),AI1007,Kommunikationsnetze und -protokolle,5,"Die Studierenden verfolgen die Weiterentwicklung des Internets sowie zugehöriger Anwendungen und Dienste, schätzen diese ein und kennen damit verbundene Risiken und Möglichkeiten.",K,5,0.75,test
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,1,Die Studierenden benennen mindestens drei Merkmale objektorientierter Programmierung (OOP).,K,1,0.95,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,K,2,0.85,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,3,"Die Studierenden benutzen fachgerecht die behandelten OOP-Konzepte in der Programmierung, erkennen diese in gegebenen Quellcode und können darin fehlerhafte Anwendungen analysieren und benennen.",K,4,0.85,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,4,"Die Studierenden analysieren gegebene Problemstellungen der Informatik auf algorithmisch relevante Bestandteile, leiten daraus algorithmische Lösungen ab und setzen diese als objektorientierte Programme um.",K,4,0.85,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,5,Die Studierenden erklären die Funktionsweise Ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,K,5,0.80,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,6,Die Studierenden verwenden fachgerecht moderne Werkzeuge zur Unterstützung der Programmanalyse und -entwicklung in der Einzel- und Zusammenarbeit.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1006,Programmierung 2,7,"Die Studierenden erstellen ggf. in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit (optional) selbst.",K,6,0.70,train
Angewandte Informatik (B.Sc.),AI1011,Software Engineering,1,Die Studierenden definieren und unterscheiden Fachbegriffe des SE für die Gestaltung komplexer Softwaresysteme und entsprechender Vorgehensweisen.,K,2,0.85,train
Angewandte Informatik (B.Sc.),AI1011,Software Engineering,2,"Die Studierenden benutzen fachgerecht die behandelten SE-Konzepte (z.B. in der Anforderungsanalyse, dem Design oder der Qualitätssicherung), erkennen diese in gegebenen Beispielen und können darin fehlerhafte Anwendungen analysieren und benennen.",K,4,0.85,train
Angewandte Informatik (B.Sc.),AI1011,Software Engineering,3,"Die Studierenden analysieren gegebene Problemstellungen der Softwareerstellung auf relevante Bestandteile, leiten daraus Lösungen für eine adäquate System/Softwareentwicklung ab und verwenden die relevanten Methoden.",K,4,0.85,train
Angewandte Informatik (B.Sc.),AI1011,Software Engineering,4,Die Studierenden entwickeln Modelle und beurteilen die Modellierung von Softwaresysteme z.B. mit UML.,K,5,0.85,train
Angewandte Informatik (B.Sc.),AI1011,Software Engineering,5,Die Studierenden erklären die Funktionsweise ihrer eigenen Lösungen und argumentieren dabei die zugrundeliegenden Entscheidungen bei alternativen Lösungswegen.,K,5,0.80,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,1,Die Studierenden beschreiben die grundlegenden Konzepte und Techniken des Webs.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,2,Die Studierenden benennen die aktuell geltenden Web-Standards.,K,1,0.95,test
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,3,"Die Studierenden wenden grundlegende Methoden, Techniken und Werkzeuge der Webgestaltung zur Webseitenerstellung an Beispielaufgaben an.",K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,4,Die Studierenden erklären das wesentliche Grundprinzip der Trennung von inhaltlicher Struktur und visueller Gestaltung.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,5,"Die Studierenden erstellen fachgerecht interaktive, dynamische Webanwendungen und multimediale Webseiten.",K,6,0.75,test
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,6,Die Studierenden setzen Web-Frameworks und -Bibliotheken zur Realisierung interaktiver Web-Anwendungen passend ein.,K,3,0.90,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,7,Die Studierenden erklären und implementieren wesentliche Techniken der client- und serverseitigen Programmierung für synchrone als auch asynchrone Client-Server-Kommunikation.,K,3,0.85,test
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,8,Die Studierenden beschreiben wichtige Klassen von Web-Anwendungssystemen.,K,2,0.90,train
Angewandte Informatik (B.Sc.),AI1009,Web-Applikationen,9,Die Studierenden kommunizieren und koordinieren in kleinen Lerngruppen die Anwendung praxisrelevanter Werkzeuge anhand von Beispielaufgaben.,K,3,0.75,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,1,Die Studierenden benennen typische Operationen auf Standarddatenstrukturen und können diese in Programmen anwenden.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,2,Die Studierenden messen das Laufzeitverhalten von Algorithmen und schätzen es ein.,K,5,0.80,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,3,Die Studierenden erweitern Standardimplementierungen von Algorithmen und passen sie auf neue Anwendungen an.,K,3,0.75,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,4,Die Studierenden wählen abhängig vom Einsatzszenario geeignete Standarddatenstrukturen und Algorithmen zur Problemlösung aus und setzen sie ein.,K,3,0.85,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,5,"Die Studierenden erstellen in Gruppen Programmierlösungen zu gegebenen Problemstellungen, bringen sich aktiv in die Lösungsentwicklung ein und strukturieren die kollaborative Zusammenarbeit selbst.",K,6,0.65,train
Angewandte Informatik (B.Sc.),AI1012,Algorithmen und Datenstrukturen,6,Die Studierenden erstellen in Gruppen Präsentationen zu selbst erarbeiteten komplexen Datenstrukturen und Algorithmen.,K,6,0.60,train
Angewandte Informatik (B.Sc.),AI1014,Datenbanksysteme,1,Charakteristiken von verschiedenen Datei- und Datenbanksystemen können erklärt werden,K,2,0.90,train
