studiengang,hochschule,modul_id,modulname,satz_nr,satz
Maschinenbau (B.Sc.),TH Mittelhessen,B0010,Mathematik 1,1,Die Studierenden können mit reellen und komplexen Zahlen umgehen Gleichungen auflösen und Funktionen anwenden Gleichungssysteme lösen
Maschinenbau (B.Sc.),TH Mittelhessen,B0010,Mathematik 1,2,Die Studierenden können einfache mathematische Fragestellungen in Gruppen kooperativ lösen
Maschinenbau (B.Sc.),TH Mittelhessen,B0010,Mathematik 1,3,Die Studierenden können ihre mathematischen Fähigkeiten beurteilen ihren Lernfortschritt in Mathematik reflektieren und ihr Lernverhalten entsprechend anpassen
Maschinenbau (B.Sc.),TH Mittelhessen,B0011,Mathematik 2,1,"Funktionen differenzieren und integrieren ihre vertieften Kenntnisse der Analysis, insbesondere im Bereich der Differential- und Integralrechnung, anwenden und sind in der Lage, die entsprechenden mathematischen Techniken in unterschiedlichsten Anwendungsbereichen einzusetzen. gewöhnliche Differentialgleichung lösen"
Maschinenbau (B.Sc.),TH Mittelhessen,B0011,Mathematik 2,2,"Die Studierenden können auch kompliziertere Aspekte ingenieurtechnischer Sachverhalte mathematisch formulieren und sind in der Lage, die mathematischen Grundlagen weitergehender ingenieurtechnischer Fachdisziplinen zu verstehen."
Maschinenbau (B.Sc.),TH Mittelhessen,B0011,Mathematik 2,3,Die Studierenden können ihre mathematischen Fähigkeiten beurteilen ihren Lernfortschritt in Mathematik reflektieren und ihr Lernverhalten entsprechend anpassen
Maschinenbau (B.Sc.),TH Mittelhessen,B0012,Mathematik 3,1,Die Studierenden können die grundlegenden Prinzipien der Kombinatorik und der Wahrscheinlichkeitsrechnung auf technische Fragestellungen anwenden statistische Methoden in unterschiedlichsten Anwendungsbereichen einsetzen. problembezogen Wahrscheinlichkeitsverteilungen auswählen und ausgewählte statistische Testverfahren anwenden
Maschinenbau (B.Sc.),TH Mittelhessen,B0012,Mathematik 3,2,"Die Studierenden können statistische Methoden auf ingenieurtechnische Sachverhalte, insbesondere auf dem Gebiet des Qualitätsmanagements anwenden"
Maschinenbau (B.Sc.),TH Mittelhessen,B0012,Mathematik 3,3,Die Studierenden können ihre statistischen Fähigkeiten beurteilen ihren Lernfortschritt in Wahrscheinlichkeitsrechnung und Statistik reflektieren und ihr Lernverhalten entsprechend anpassen
Maschinenbau (B.Sc.),TH Mittelhessen,B0020,Technische Mechanik 1,1,"Die Studierenden können die grundlegenden Begriffe der Mechanik definieren die Axiome der Mechanik anwenden ingeníeurtechnische Fragestellungen der statischen Mechanik beurteilen und beantworten erkennen, dass alle wesentlichen Gleichungen der Statik aus dem Gleichgewicht am Gesamtsystem oder Teilsystem folgen"
Maschinenbau (B.Sc.),TH Mittelhessen,B0020,Technische Mechanik 1,2,Die Studierenden können komplexe Aufgabenstellungen der Statik strukturiert und systematisch lösen und dabei Wissen aus den Bereichen Mathematik und Physik anwenden. eigene Ergebnisse überprüfen und die Anwendungsgrenzen der verwendeten Modelle klar erkennen
Maschinenbau (B.Sc.),TH Mittelhessen,B0020,Technische Mechanik 1,3,Die Studierenden können durch das erworbene Basiswissen weiterführende Lehrveranstaltungen im Bachelorstudium besuchen Fachvokabular der technischen Mechanik in Diskussion anwenden in Gruppen Lösungskonzepte für die Umsetzung von Fragestellungen der Statik erarbeiten
Maschinenbau (B.Sc.),TH Mittelhessen,B0020,Technische Mechanik 1,4,Die Studierenden können durch das erworbene Basiswissen weiterführende Lehrveranstaltungen im Bachelorstudium besuchen ihre Fähigkeiten in technischer Mechanik beurteilen
Maschinenbau (B.Sc.),TH Mittelhessen,B0021,Technische Mechanik 2,1,"Spannungen und Verformungen bei Zug-, Druck, Torsions- und Biegebeanspruchung berechnen Knicklasten berechnen Die zur Formänderung erforderliche Arbeit sowie die Formänderungsenergie berechnen das Werkstoff-Elastizitätsgesetz anwenden"
Maschinenbau (B.Sc.),TH Mittelhessen,B0021,Technische Mechanik 2,2,"Die Studierenden können allgemeine Spannungs- und Dehnungszustände beurteilen erkennen, dass alle wesentlichen Gleichungen der elastischen Verformung aus dem Gleichgewicht an einem infinitesimalen Element folgen Mechanik-Berechnungsmodelle aus praktischen Fragestellungen ableiten"
Maschinenbau (B.Sc.),TH Mittelhessen,B0021,Technische Mechanik 2,3,Die Studierenden können das erweiterte Fachvokabular der technischen Mechanik in Diskussion anwenden in Gruppen Lösungskonzepte für die Umsetzung von Fragestellungen elastischer Verformungen erarbeiten
Maschinenbau (B.Sc.),TH Mittelhessen,B0021,Technische Mechanik 2,4,Die Studierenden können durch das erworbene Basiswissen weiterführende Lehrveranstaltungen im Bachelorstudium besuchen ihre Fähigkeiten in technischer Mechanik beurteilen mechanische Zusammenhänge erkennen und analytisch durchdenken
Maschinenbau (B.Sc.),TH Mittelhessen,B0022,Technische Mechanik 3,1,Die Studierenden können die wesentlichen Zusammenhänge der Kinematik/Kinetik von Körperpunkten und des starren Körpers.wiedergeben auf Basis der vermittelten Kenntnisse Aufgaben zu Schwingungsproblemen und Stoßvorgängen zu lösen
Maschinenbau (B.Sc.),TH Mittelhessen,B0022,Technische Mechanik 3,2,"Die Studierenden können erkennen, dass sie mit dem Wissen aus dem Modul Technische Mechanik 1, den neu zu erwerbenden Kenntnissen der Kinematik und der Anwendung der Impulsbilanz (dynamisches Kräftegleichgewicht) und der Drehimpulsbilanz (dynamisches Momentengleichgewicht) in der Lage sind, die Bewegung von Körpern unter der Einwirkung von Kräften und Momenten zu bestimmen."
Maschinenbau (B.Sc.),TH Mittelhessen,B0022,Technische Mechanik 3,3,Die Studierenden können das erweiterte Fachvokabular der technischen Mechanik in Diskussion anwenden in Gruppen Lösungskonzepte für die Umsetzung von Fragestellungen der Kinematik erarbeiten
Maschinenbau (B.Sc.),TH Mittelhessen,B0022,Technische Mechanik 3,4,Die Studierenden können durch das erworbene Basiswissen weiterführende Lehrveranstaltungen im Bachelorstudium besuchen ihre Fähigkeiten in technischer Mechanik beurteilen
