studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,2,"Die Studierenden finden sich in der betrieblichen Wirklichkeit, die weitgehend vom betriebswirtschaftlichen Rationalitätspostulat bestimmt ist, zurecht und bringen sich produktiv ein.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,3,"Die Studierenden sind in der Lage, betriebswirtschaftliche Kennzahlen zu ermitteln und diese, ebenso wie Jahresabschlüsse, zu interpretieren.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,4,Die Studierenden schätzen die Bedeutung von Faktoren wie z.B. der Unternehmenskultur oder der Mitbestimmung ein und beurteilen diese.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,1,"Die Studierenden verstehen die technischen Grundlagen, welche zum Verständnis digitaler Rechensysteme notwendig sind.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,2,"Angefangen von der Funktionsweise primitiver logischer Verknüpfungen (UND, ODER, Negation) werden auf Grundlage der Booleschen Algebra Methoden entwickelt, welche notwendig sind, um die Funktionsweise von einfachen Von-Neumann Rechnern zu verstehen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,3,Die Studierenden wenden Zahlensysteme zur Darstellung von Fest- und Fließkommazahlen an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,4,Die Studierenden wenden die Regeln der Booleschen Algebra an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,5,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,6,Die Studierenden berechnen das Laufzeitverhalten von kombinatorischen und synchronen Schaltungen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,7,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,8,Die Studierenden entwerfen einfache Programme in Maschinensprache.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,1,Die Studierenden benutzen fachgerecht mathematische Symbole.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,2,Die Studierenden nennen Beispiele von Zahlenfolgen und Funktionen mit bestimmten Eigenschaften.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften von reellen Zahlenfolgen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,4,Die Studierenden analysieren die Eigenschaften von Funktionen einer reellen Variablen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,5,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Analysis nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,6,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Analysis.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,1,"Die Studierenden beschreiben mathematische und logische Probleme mit eigenen Worten, die in natürlicher Sprache formuliert sind (z.B. Zahlenfolgen und -reihen, Sortieren, Game of Life, Türme von Hanoi).",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,2,Die Studierenden beschreiben diese Probleme anhand algorithmischer Teilschritte und entwickeln unter Anwendung der ihnen bekannten Programmkonstrukte programmiersprachliche Lösungen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,3,"Die Studierenden formulieren diese Lösungen in Quellcode, der vorgegebenen Konventionen für guten Programmierstil entspricht.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,4,Die Studierenden treffen Einschätzungen zu Laufzeit und Speicherverwaltung dieser Programme .,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1000,Programmierung 1,5,"Die Studierenden kennen Strategien zu Fehlereingrenzung, -suche und -behebung und wenden diese an.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,1,Die Studierenden übersetzen selbstständig bestehenden Quellcode unter Windows und Linux,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,2,Die Studierenden benennen gängige Build-Systeme und Paketmanager,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,3,Die Studierenden identifizieren Abhängigkeiten zwischen Bibliotheken und lösen sie auf,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,4,Die Studierenden bedienen PCs von der Kommandozeile aus,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,5,Die Studierenden editieren Konfigurationsdateien mit Text-Editoren,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1589,Programmiermethoden und -werkzeuge 1,6,Die Studierenden starten und installieren selbst übersetzten Code aus bestehenden Software-Repositories,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,1,Die Studierenden nennen die wichtigsten Grundbegriffe der Mensch-Computer-Interaktion (MCI) und erklären ihre Bedeutung.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,2,Die Studierenden bringen die Perspektive der Nutzer*innen aktiv in den Entwicklungsprozess interaktiver Systeme ein.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,3,Die Studierenden interpretieren das Grundmodell menschlicher Informationsverarbeitung und stellen einfache Ableitungen für das Handeln her.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,4,Die Studierenden erklären die Bedeutung der menschzentrierten Gestaltung von technischen Systemen sowie Beispiele für gute und schlechte Umsetzungen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,5,Die Studierenden nennen die Grundlagen und Konzepte des menschzentrierten Entwurfs interaktiver Systeme und wenden sie auf einfache Aufgabenstellungen an.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,6,Die Studierenden benennen traditionelle Interaktionen und zeigen aktuelle Entwicklungen hinsichtlich des Interaktionsdesigns auf.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,7,Die Studierenden nennen die grundlegenden Richtlinien für die MCI und integrieren diese in ihre Überlegungen beim Entwurf von interaktiven Systemen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,8,"Die Studierenden entwickeln Prototypen zur MCI mit verschiedenen Techniken (z.B. PenAndPaper), evaluieren nach etablierten Methoden, analysieren die Ergebnisse und präsentieren diese.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1047,Mensch-Computer-Interaktion,9,Die Studierenden entwickeln ein Bewusstsein für die Rolle des Fachgebiets MCI .,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,1,Die Studierenden erklären die Grundbegriffe der linearen Algebra.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,2,Die Studierenden erkennen verschiedene algebraische Strukturen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften algebraischer Strukturen.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,4,Die Studierenden treffen Aussagen über die Lösbarkeit linearer Gleichungssysteme und bestimmen deren Lösungsmenge.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,5,Die Studierenden führen Vektor- und Matrizenoperationen durch.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,6,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Linearen Algebra nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1010,Algebraische Grundlagen der Informatik,7,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Linearen Algebra.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,1,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,2,Die Studierenden wenden Versionskontrollsysteme an und erklären die technischen Grundlagen dieser Systeme.,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,3,Die Studierenden kennen erweiterte Konzepte der Arbeit mit Kommandozeilen und können sie für fortgeschrittene Aufgaben (z.B. Suchen in Dateien und Verzeichnissen mit regulären Ausdrücken) benutzen.,,,,
