studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,konfidenz,split
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,1,Die Studierenden geben die wesentlichen Grundlagen der Betriebswirtschaftslehre wieder.,K,1,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,2,"Die Studierenden finden sich in der betrieblichen Wirklichkeit, die weitgehend vom betriebswirtschaftlichen Rationalitätspostulat bestimmt ist, zurecht und bringen sich produktiv ein.",K,3,0.60,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,3,"Die Studierenden sind in der Lage, betriebswirtschaftliche Kennzahlen zu ermitteln und diese, ebenso wie Jahresabschlüsse, zu interpretieren.",K,4,0.80,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1005,Betriebswirtschaftslehre 1,4,Die Studierenden schätzen die Bedeutung von Faktoren wie z.B. der Unternehmenskultur oder der Mitbestimmung ein und beurteilen diese.,K,5,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,1,"Die Studierenden verstehen die technischen Grundlagen, welche zum Verständnis digitaler Rechensysteme notwendig sind.",K,2,0.90,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,2,"Angefangen von der Funktionsweise primitiver logischer Verknüpfungen (UND, ODER, Negation) werden auf Grundlage der Booleschen Algebra Methoden entwickelt, welche notwendig sind, um die Funktionsweise von einfachen Von-Neumann Rechnern zu verstehen.",I,,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,3,Die Studierenden wenden Zahlensysteme zur Darstellung von Fest- und Fließkommazahlen an.,K,3,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,4,Die Studierenden wenden die Regeln der Booleschen Algebra an.,K,3,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,5,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,K,6,0.85,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,6,Die Studierenden berechnen das Laufzeitverhalten von kombinatorischen und synchronen Schaltungen.,K,3,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,7,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",K,2,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,8,Die Studierenden entwerfen einfache Programme in Maschinensprache.,K,6,0.85,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,1,Die Studierenden benutzen fachgerecht mathematische Symbole.,K,3,0.90,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,2,Die Studierenden nennen Beispiele von Zahlenfolgen und Funktionen mit bestimmten Eigenschaften.,K,1,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,3,Die Studierenden analysieren die Eigenschaften von reellen Zahlenfolgen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,4,Die Studierenden analysieren die Eigenschaften von Funktionen einer reellen Variablen.,K,4,0.95,train
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,5,"Die Studierenden sind in der Lage, mathematische Argumentationen im Bereich der Analysis nachzuvollziehen und erkennen Lücken in mathematischen Argumentationen.",K,4,0.75,test
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1004,Mathematische Grundlagen der Informatik,6,Die Studierenden führen selbst mathematische Argumentationen im Bereich der Analysis.,K,6,0.75,train
