nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
1,Hochschule Fulda,Digitaltechnik und Rechnersysteme,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,,,,
2,Hochschule Fulda,Digitaltechnik und Rechnersysteme,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",,,,
3,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",,,,
4,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",,,,
5,Hochschule Fulda,Kommunikationsnetze und -protokolle,Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.,,,,
6,Hochschule Fulda,Programmierung 2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,,,,
7,Hochschule Fulda,IT-Sicherheit,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",,,,
8,Hochschule Fulda,Verteilte Systeme,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen.",,,,
9,Hochschule Fulda,Bachelor-Projekt Angewandte Informatik,"Die Studierenden organisieren selbständig das Arbeiten im Team in Form des Projekts (vgl. Arbeitsplan, Ziele, Backlog, Verantwortlichkeiten, Abläufe etc.).",,,,
10,Hochschule Fulda,Datenbanktechnologien,Die Studierenden implementieren Datenbankanwendungslogik sowohl mit prozedualem SQL als auch in einem Anwendungsprogramm.,,,,
11,Hochschule Fulda,Digitale Bildverarbeitung,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",,,,
12,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben.",,,,
13,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,Die Studierenden beschreiben das Programmiermodell des Anwendungssystems je Anwendungstyp.,,,,
14,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,Die Studierenden benennen Grundelemente der Beschreibungssprache VHDL.,,,,
15,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,Die Studierenden implementieren digitale Schaltungen mit Hilfe von Synthese-Software.,,,,
16,Hochschule Fulda,Grundlagen der Wirtschaftsinformatik,Die Studierenden erläutern die durch die Geschäftsprozesse erzeugten Daten und deren Weiterverarbeitung.,,,,
17,Hochschule Fulda,Visualisierung,Die Studierenden setzen Typographie in der visuellen Kommunikation sachgemäß und zielgerichtet ein.,,,,
18,Hochschule Fulda,Masterseminar,Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur.,,,,
19,Hochschule Fulda,Graphen und Netzwerke,Die Studierenden begründen die Korrektheit verschiedener graphentheoretischer Verfahren.,,,,
20,Hochschule Fulda,Advanced Computer Networks,"Die Studierenden benennen Lösungen für Performance, Fehlertoleranz und Skalierbarkeit in Netzen von Unternehmen, Rechenzentren sowie Network und Internet Service Providern.",,,,
21,Hochschule Fulda,Cloud Computing,Die Studierenden beschreiben die Charakteristika des Cloud Computing und zugehöriger IT-Infrastruktur anhand von gegebenen Beispielen.,,,,
22,Hochschule Fulda,Parallel Programming,Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen.,,,,
23,Hochschule Fulda,Advanced Big Data,die inhärenten Restriktionen etablierter relationaler Datenbanksysteme zu illustrieren.,,,,
24,Hochschule Fulda,Angewandte Designtheorie,Die Studierenden wenden die erworbenen Kenntnisse in der Gestaltung bzw. Programmierung einer eigenen kreativen Arbeit an.,,,,
25,Hochschule Fulda,Datenanalyse in Businessanwendungen,"Die Studierenden benennen konkrete Methoden der Datenanalyse sowie allgemein quantitative Methoden innerhalb von Business-Anwendungen; in erster Linie die analytischen Anteile von vertikal integrierten Business-Anwendungen, wie Supply-Chain-Management-Anwendungen sowie Customer-RelationshipAnwendungen.",,,,
26,Hochschule Fulda,Preparation and Analysis of Data,Dazu gehört die Auswahl und praktische Anwendung sinnvoller Methoden.,,,,
27,Hochschule Fulda,Preparation and Analysis of Data,Dies schließt insbesondere die Auswahl und Bewertung geeigneter Literatur sowie die Präsentation der Ergebnisse mit ein.,,,,
