nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
1,Hochschule Fulda,Digitaltechnik und Rechnersysteme,"Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken. [cite: 1]",K,3;6,gut,
2,Hochschule Fulda,Digitaltechnik und Rechnersysteme,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“. [cite: 1]",K,2,gut,
3,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen. [cite: 1]",K,3;4,gut,
4,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse. [cite: 1]",K,2,gut,
5,Hochschule Fulda,Kommunikationsnetze und -protokolle,"Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen. [cite: 2]",K,5,gut,
6,Hochschule Fulda,Programmierung 2,"Die Studierenden definieren und unterscheiden Fachbegriffe der OOP. [cite: 2]",K,1;4,gut,
7,Hochschule Fulda,IT-Sicherheit,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen. [cite: 2]",K,1;2;3,gut,
8,Hochschule Fulda,Verteilte Systeme,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen. [cite: 2]",S,,,schlecht,Nur Faktenbeschreibung
9,Hochschule Fulda,Bachelor-Projekt Angewandte Informatik,"Die Studierenden organisieren selbständig das Arbeiten im Team in Form des Projekts (vgl. Arbeitsplan, Ziele, Backlog, Verantwortlichkeiten, Abläufe etc.). [cite: 3]",K,4,akzeptabel,
10,Hochschule Fulda,Datenbanktechnologien,"Die Studierenden implementieren Datenbankanwendungslogik sowohl mit prozedualem SQL als auch in einem Anwendungsprogramm. [cite: 3]",K,3,gut,
11,Hochschule Fulda,Digitale Bildverarbeitung,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren, [cite: 3]",K,3,akzeptabel,Satz unvollständig
12,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben. [cite: 3]",K,4,akzeptabel,Fragestellungen erkennen = Analysieren
13,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Die Studierenden beschreiben das Programmiermodell des Anwendungssystems je Anwendungstyp. [cite: 3]",K,2,gut,
14,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,"Die Studierenden benennen Grundelemente der Beschreibungssprache VHDL. [cite: 3]",K,1,gut,
15,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,"Die Studierenden implementieren digitale Schaltungen mit Hilfe von Synthese-Software. [cite: 3]",K,3,gut,
16,Hochschule Fulda,Grundlagen der Wirtschaftsinformatik,"Die Studierenden erläutern die durch die Geschäftsprozesse erzeugten Daten und deren Weiterverarbeitung. [cite: 3]",K,2,gut,
17,Hochschule Fulda,Visualisierung,"Die Studierenden setzen Typographie in der visuellen Kommunikation sachgemäß und zielgerichtet ein. [cite: 4]",K,3,gut,
18,Hochschule Fulda,Masterseminar,"Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur. [cite: 4]",K,3,akzeptabel,Verb "vertiefen" unterspezifiziert
19,Hochschule Fulda,Graphen und Netzwerke,"Die Studierenden begründen die Korrektheit verschiedener graphentheoretischer Verfahren. [cite: 4]",K,5,gut,
20,Hochschule Fulda,Advanced Computer Networks,"Die Studierenden benennen Lösungen für Performance, Fehlertoleranz und Skalierbarkeit in Netzen von Unternehmen, Rechenzentren sowie Network und Internet Service Providern. [cite: 4]",K,1,gut,
21,Hochschule Fulda,Cloud Computing,"Die Studierenden beschreiben die Charakteristika des Cloud Computing und zugehöriger IT-Infrastruktur anhand von gegebenen Beispielen. [cite: 4]",K,2,gut,
22,Hochschule Fulda,Parallel Programming,"Die Studierenden erarbeiten selbstständig Lösungen für vorgegebene Problemstellungen. [cite: 4]",K,3,gut,
23,Hochschule Fulda,Advanced Big Data,"die inhärenten Restriktionen etablierter relationaler Datenbanksysteme zu illustrieren. [cite: 4]",K,2,akzeptabel,Infinitivkonstruktion
24,Hochschule Fulda,Angewandte Designtheorie,"Die Studierenden wenden die erworbenen Kenntnisse in der Gestaltung bzw. Programmierung einer eigenen kreativen Arbeit an. [cite: 5]",K,3,gut,
25,Hochschule Fulda,Datenanalyse in Businessanwendungen,"Die Studierenden benennen konkrete Methoden der Datenanalyse sowie allgemein quantitative Methoden innerhalb von Business-Anwendungen; in erster Linie die analytischen Anteile von vertikal integrierten Business-Anwendungen, wie Supply-Chain-Management-Anwendungen sowie Customer-RelationshipAnwendungen. [cite: 5]",K,1,akzeptabel,Sehr lang
26,Hochschule Fulda,Preparation and Analysis of Data,"Dazu gehört die Auswahl und praktische Anwendung sinnvoller Methoden. [cite: 5]",S,,,schlecht,Kein Handlungsverb
27,Hochschule Fulda,Preparation and Analysis of Data,"Dies schließt insbesondere die Auswahl und Bewertung geeigneter Literatur sowie die Präsentation der Ergebnisse mit ein. [cite: 5]",S,,,schlecht,Einleitungssatz
28,Hochschule Fulda,Process Mining,"Die Studierenden erläutern die wichtigsten Konzepte von Geschäftsprozessmodellen, soweit sie für die durch das Mining erzeugten Prozessmodelle relevant sind, speziell Petri-Netze und BPMN [cite: 5]",K,2,gut,
29,Hochschule Fulda,Reconfigurable Computing,"Die Studierenden analysieren ein gegebenes Problem, um dieses in Hardware- und Software-Anteile zu zerlegen. [cite: 6]",K,4,gut,
30,Hochschule Fulda,Semantische Umgebungsmodellierung,"Die Studierenden beschreiben die Grundlagen zur semantischen Modellierung von 3D-Umgebungsdaten im Kontext der mobilen Robotik. [cite: 6]",K,2,gut,
31,Hochschule Fulda,Semantische Umgebungsmodellierung,"Die Studierenden schreiben einfache Anwendungen unter Verwendung der Programmiersprache Prolog. [cite: 6]",K,3,gut,
32,Hochschule Fulda,Stream Processing and Analytics,"Die Studierenden unterscheiden zwischen Processing-time und Event-time und verarbeiten out-of-order und late-arriving Daten robust. [cite: 6]",K,3;4,gut,
33,Hochschule Fulda,Stream Processing and Analytics,"Die Studierenden verarbeiten Streaming-Daten nach definierten Anforderungen unter Einsatz von den verschiedenen Typen von Streaming Joins. [cite: 6]",K,3,gut,
34,Hochschule Fulda,Stream Processing and Analytics,"Die Studierenden fassen die wesentlichen Charakteristika von Data Sketches zusammen. [cite: 6]",K,2,gut,
