nr,hochschule,modulname,satz,val_typ,val_taxonomie,val_qualitaet,val_kommentar
1,Hochschule Fulda,Digitaltechnik und Rechnersysteme,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,K,3;6,gut,
2,Hochschule Fulda,Digitaltechnik und Rechnersysteme,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",K,2,gut,
3,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",K,3,gut,
4,Hochschule Fulda,Programmiermethoden und -werkzeuge 2,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",K,2,gut,
5,Hochschule Fulda,Kommunikationsnetze und -protokolle,"Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.",K,5,gut,
6,Hochschule Fulda,Programmierung 2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,K,1;4,gut,
7,Hochschule Fulda,IT-Sicherheit,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",K,1;2;3,gut,
8,Hochschule Fulda,Verteilte Systeme,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen.",I,,schlecht,
9,Hochschule Fulda,Bachelor-Projekt Angewandte Informatik,"Die Studierenden organisieren selbständig das Arbeiten im Team in Form des Projekts (vgl. Arbeitsplan, Ziele, Backlog, Verantwortlichkeiten, Abläufe etc.).",K,3,gut,
10,Hochschule Fulda,Datenbanktechnologien,Die Studierenden implementieren Datenbankanwendungslogik sowohl mit prozedualem SQL als auch in einem Anwendungsprogramm.,K,3,gut,
11,Hochschule Fulda,Digitale Bildverarbeitung,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",K,3,akzeptabel,
12,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben.",K,2,akzeptabel,
13,Hochschule Fulda,Entwicklung von betrieblicher Anwendungssoftware,Die Studierenden beschreiben das Programmiermodell des Anwendungssystems je Anwendungstyp.,K,2,gut,
14,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,Die Studierenden benennen Grundelemente der Beschreibungssprache VHDL.,K,1,gut,
15,Hochschule Fulda,Entwurf digitaler Systeme mit VHDL,Die Studierenden implementieren digitale Schaltungen mit Hilfe von Synthese-Software.,K,3,gut,
16,Hochschule Fulda,Grundlagen der Wirtschaftsinformatik,Die Studierenden erläutern die durch die Geschäftsprozesse erzeugten Daten und deren Weiterverarbeitung.,K,2,gut,
17,Hochschule Fulda,Visualisierung,"Die Studierenden setzen Typographie in der visuellen Kommunikation sachgemäß und zielgerichtet ein.",K,3,gut,
18,Hochschule Fulda,Masterseminar,Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur.,K,3,akzeptabel,
19,Hochschule Fulda,Graphen und Netzwerke,Die Studierenden begründen die Korrektheit verschiedener graphentheoretischer Verfahren.,K,5,gut,
20,Hochschule Fulda,Advanced Computer Networks,"Die Studierenden benennen Lösungen für Performance, Fehlertoleranz und Skalierbarkeit in Netzen von Unternehmen, Rechenzentren sowie Network und Internet Service Providern.",K,1,gut,
