studiengang,hochschule,modul_id,modulname,satz_nr,satz,typ,taxonomie,qualitaet,konfidenz,split,val_typ,val_taxonomie,val_qualitaet,val_kommentar
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,5,Die Studierenden wenden Methoden zur Entwicklung und Vereinfachung kombinatorischer Schaltnetze an entwerfen endliche Automaten und realisieren diese in Form von Schaltwerken.,K,3;6,akzeptabel,0.80,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1002,Digitaltechnik und Rechnersysteme,7,"Die Studierenden erklären den Aufbau, die Baugruppen und die Arbeitsweise des „Von-Neumann-Rechners“.",K,2,gut,0.95,test,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,1,"Die Studierenden setzen interaktive Entwicklungsumgebungen insbesondere Debugger ein, um unbekannte Fehler einzugrenzen, zu identifizieren und zu beseitigen.",K,3;4,gut,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1001,Programmiermethoden und -werkzeuge 2,4,"Die Studierenden beschreiben den Entwicklungszyklus von Software, wie er tatsächlich in der Industrie stattfindet, insbesondere im Hinblick auf Dokumentationen und Prozesse.",K,2,gut,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1007,Kommunikationsnetze und -protokolle,3,Die Studierenden beurteilen die Eignung von verschiedenen Kommunikationsnetzen und –protokollen für die Realisierung von Netz-Infrastrukturen und Internetdiensten sowie –anwendungen.,K,5,gut,0.90,test,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1006,Programmierung 2,2,Die Studierenden definieren und unterscheiden Fachbegriffe der OOP.,K,1;4,gut,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1017,IT-Sicherheit,4,"Die Studierenden benennen Verfahren im Bereich der Kryptographie, erklären die Sicherheitseigenschaften der Verfahren und können passende Verfahren zu gegebenen Problemstellungen auswählen.",K,1;2;5,gut,0.85,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1015,Verteilte Systeme,1,"Die modernen Computersysteme sind vernetzt, wobei viele von ihnen heterogene Betriebssysteme besitzen.",S,,akzeptabel,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1021,Bachelor-Projekt Angewandte Informatik,3,"Die Studierenden organisieren selbständig das Arbeiten im Team in Form des Projekts (vgl. Arbeitsplan, Ziele, Backlog, Verantwortlichkeiten, Abläufe etc.).",K,3,gut,0.75,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1031,Datenbanktechnologien,7,Die Studierenden implementieren Datenbankanwendungslogik sowohl mit prozedualem SQL als auch in einem Anwendungsprogramm.,K,3,gut,0.95,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1048,Digitale Bildverarbeitung,5,"Die Studierenden implementieren die behandelten Bildverarbeitungsverfahren,",K,3,gut,0.95,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1030,Entwicklung von betrieblicher Anwendungssoftware,1,"Die Studierenden erkennen die speziellen Fragestellungen, die sich bei der Entwicklung/ Erweiterung von betrieblicher Anwendungssoftware/ Standardsoftware ergeben.",K,4,akzeptabel,0.80,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1030,Entwicklung von betrieblicher Anwendungssoftware,4,Die Studierenden beschreiben das Programmiermodell des Anwendungssystems je Anwendungstyp.,K,2,gut,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1398,Entwurf digitaler Systeme mit VHDL,1,Die Studierenden benennen Grundelemente der Beschreibungssprache VHDL.,K,1,gut,0.95,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1398,Entwurf digitaler Systeme mit VHDL,6,Die Studierenden implementieren digitale Schaltungen mit Hilfe von Synthese-Software.,K,3,gut,0.95,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1029,Grundlagen der Wirtschaftsinformatik,4,Die Studierenden erläutern die durch die Geschäftsprozesse erzeugten Daten und deren Weiterverarbeitung.,K,2,gut,0.90,train,,,,
Angewandte Informatik (B.Sc.),Hochschule Fulda,AI1046,Visualisierung,5,Die Studierenden setzen Typographie in der visuellen Kommunikation sachgemäß und zielgerichtet ein.,K,3,gut,0.90,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5017,Masterseminar,1,Die Studierenden vertiefen ein vorgegebenes Thema anhand wissenschaftlicher Literatur.,K,3,akzeptabel,0.80,train,,,,
Angewandte Informatik (M.Sc.),Hochschule Fulda,AI5033,Graphen und Netzwerke,5,Die Studierenden begründen die Korrektheit verschiedener graphentheoretischer Verfahren.,K,5,gut,0.85,train,,,,
